start_name,initial_odd_defect,transformed_energy,equation_6_energy,gradient_inf_norm,el_residual_inf_norm,min_forward_derivative,min_spline_derivative,zero_crossing_x,aligned_oddness_defect,optimizer_task,iterations,solver_calls,status
explicit_asymmetric,1.0508337165991444,-4.388083554165408,-1.2464909005756146,9.56857968414937e-08,6.091547020581345e-06,0.13282364982271277,0.1328206444922616,-0.44624569315833884,4.1548365947718935e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,602,1,PASS
random_fourier_1,0.4244569103251483,-4.388083554165317,-1.246490900575524,8.90777609495607e-08,5.6708663898723255e-06,0.13282524408279972,0.1328204124673551,-0.1138133284573285,2.365473612542246e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,484,1,PASS
random_fourier_2,1.0278713026476785,-4.38808355416546,-1.246490900575667,9.788545820511234e-08,6.231581812064443e-06,0.13282699026122058,0.13282056756912453,0.3167388983044322,1.8239590859892019e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,525,1,PASS
random_fourier_3,0.5691301136570407,-4.38808355416546,-1.246490900575667,8.792270442953276e-08,5.5973332082626115e-06,0.13282615265237918,0.132820662949642,-0.15379527971702897,2.2389595200067447e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,576,1,PASS
random_fourier_4,0.47675077251915715,-4.388083554165382,-1.2464909005755889,9.957418395725726e-08,6.339089432483291e-06,0.13282414641442675,0.13282040674787976,0.16769006290011887,2.3141950178384718e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,556,1,PASS
random_fourier_5,0.46825306132560846,-4.388083554165516,-1.246490900575723,9.594029831520856e-08,6.107749087491676e-06,0.13282372850892799,0.13282070338176943,-0.10360534413885993,1.2315621500391671e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,551,1,PASS
