N,h,best_unrestricted_start,transformed_energy,equation_6_energy,gradient_inf_norm,el_residual_inf_norm,min_forward_derivative,min_spline_derivative,zero_crossing_x,best_aligned_oddness_defect,max_aligned_oddness_defect,unrestricted_energy_spread,aligned_profile_spread,odd_reference_energy,odd_reference_gradient_inf_norm,odd_reference_el_residual_inf_norm,energy_difference_from_reference,profile_difference_from_reference,mesh_profile_change,status
100,0.06283185307179587,random_fourier_4,-4.3892359975272495,-1.2476433439374564,7.976638981277429e-08,1.2695215232394474e-06,0.13289746012753956,0.1328387797957825,0.16770865468687177,5.315585762666331e-07,5.315585762666331e-07,6.838973831690964e-14,6.173384649033054e-07,-4.389235997527268,9.965561472650292e-08,7.930341871797975e-07,1.865174681370263e-14,5.292945367552093e-07,nan,PASS
200,0.031415926535897934,random_fourier_5,-4.388313952060084,-1.2467212984702911,9.396443108669605e-08,2.990980736472526e-06,0.13284256307127174,0.1328242064817936,-0.10247832825915534,1.9209267554387566e-07,2.9775283216793014e-07,1.163513729807164e-13,3.434565334359263e-07,-4.388313952060132,9.118570667987491e-08,1.4512655965859267e-06,4.796163466380676e-14,1.180543964807157e-07,0.0004433993433774486,PASS
400,0.015707963267948967,random_fourier_5,-4.388083554165516,-1.246490900575723,9.594029831520856e-08,6.107749087491676e-06,0.13282372850892799,0.13282070338176943,-0.10360534413885993,1.2315621500391671e-07,4.1548365947718935e-07,1.9895196601282805e-13,3.379610893361473e-07,-4.388083554165569,8.986257818096623e-08,2.86041470418108e-06,5.3290705182007514e-14,1.0709000952680015e-07,0.0001107729923619516,PASS
