N,h,l2_error,gradient_error,laplacian_error,primary_h2_error,sqrt_h2_error,max_error,primary_adjacent_order,max_adjacent_order
20,0.3064968442526627,0.01214068531843626,0.011742716919613089,0.011786456531418158,0.03566985876946751,0.020596315161272683,0.005568588178869169,nan,nan
40,0.1551403779550515,0.005935734086488146,0.0058835826483899685,0.005911496480913359,0.017730813215791473,0.010236956313757707,0.002584192022490675,1.0084467973231686,1.1075983272945082
80,0.07805199139353522,0.002956773539595959,0.002952231158662336,0.002966957350799822,0.008875962049058116,0.005124550175390682,0.0012405863346533486,0.9982833021836534,1.058691137271416
160,0.039147572007349446,0.0014782043442903563,0.001479713177451867,0.0014871917171028906,0.004445109238845114,0.0025663940411447005,0.0005941779004076664,0.9976846252043841,1.0620552861718637
320,0.019604322331293562,0.0007403458122757147,0.0007411332977986654,0.0007449613354622576,0.0022264404455366376,0.0012854407330537738,0.00029781522082565626,0.9974798517830527,0.9964774577284424
