start_name,initial_odd_defect,transformed_energy,equation_6_energy,gradient_inf_norm,el_residual_inf_norm,min_forward_derivative,min_spline_derivative,zero_crossing_x,aligned_oddness_defect,optimizer_task,iterations,solver_calls,status
explicit_asymmetric,1.0508337165991444,-20.549748063977184,-17.40815541038739,2.812627956785352e-07,1.7905745696031317e-05,0.8335527757765002,0.8335506499893295,-0.3340329274487741,6.6936642970638616e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,606,1,PASS
random_fourier_1,0.4244569103251483,-20.549748063982605,-17.408155410392812,2.2882274877222657e-07,1.4567308623592012e-05,0.8335539829397929,0.8335509673905073,-0.14395252841456999,1.003083415440642e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,635,1,PASS
random_fourier_2,1.0278713026476785,-20.5497480639831,-17.408155410393306,2.5813769326081537e-07,1.6433555952335976e-05,0.8335527654014832,0.8335509242416675,0.17763724391038477,1.7968980996485584e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,625,1,PASS
random_fourier_3,0.5691301136570407,-20.549748063983362,-17.40815541039357,2.6522763910347483e-07,1.6884915923165433e-05,0.833552406159219,0.8335510995812022,-0.14995312266294075,7.954583900460221e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,550,1,PASS
random_fourier_4,0.47675077251915715,-20.54974806398384,-17.40815541039405,2.6903483042088963e-07,1.7127289250157274e-05,0.8335535022943782,0.8335511421750275,0.15341599091163555,7.585993246905787e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,574,1,PASS
random_fourier_5,0.46825306132560846,-20.54974806398267,-17.408155410392876,2.9659318606829743e-07,1.8881708660045682e-05,0.8335559250903953,0.8335521657422296,-0.14287831652808466,6.527090858909901e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,887,1,PASS
