N,h,best_unrestricted_start,transformed_energy,equation_6_energy,gradient_inf_norm,el_residual_inf_norm,min_forward_derivative,min_spline_derivative,zero_crossing_x,best_aligned_oddness_defect,max_aligned_oddness_defect,unrestricted_energy_spread,aligned_profile_spread,odd_reference_energy,odd_reference_gradient_inf_norm,odd_reference_el_residual_inf_norm,energy_difference_from_reference,profile_difference_from_reference,mesh_profile_change,status
100,0.06283185307179587,random_fourier_5,-20.549764995666035,-17.40817234207624,2.215540439720609e-07,3.5261421260229797e-06,0.8335490351714234,0.8335162015864098,-0.14287196868796248,7.583108110331693e-07,2.0333230024149884e-06,1.573852159708622e-12,1.9260870889326043e-06,-20.549764995666198,1.7667545010313646e-07,1.4059385603920616e-06,1.6342482922482304e-13,4.1053582977568226e-07,nan,PASS
200,0.031415926535897934,random_fourier_2,-20.549751449761406,-17.408158796171612,2.3359603264130196e-07,7.435592656312995e-06,0.8335511149985542,0.8335445658584,0.1776503289445648,4.3368096713791715e-07,3.953952130153482e-06,3.439026841078885e-12,2.3924920720119758e-06,-20.549751449762077,2.979985978075403e-07,4.7427949876055475e-06,6.714628852932947e-13,4.7580940831792873e-07,4.6834115387195396e-05,PASS
400,0.015707963267948967,random_fourier_4,-20.54974806398384,-17.40815541039405,2.6903483042088963e-07,1.7127289250157274e-05,0.8335535022943782,0.8335511421750275,0.15341599091163555,7.585993246905787e-07,6.6936642970638616e-06,6.657785434072139e-12,3.801814100423684e-06,-20.549748063983895,2.84157849635841e-07,9.045025277640284e-06,5.3290705182007514e-14,6.833145222984172e-07,1.2186155949889255e-05,PASS
