interaction_scale,start,all_h2,all_max,all_phase_matched_h2,all_phase_matched_max,finest3_h2,finest3_max,finest3_phase_matched_h2,finest3_phase_matched_max,valid_subset_h2,valid_subset_max,valid_subset_phase_matched_h2,valid_subset_phase_matched_max,valid_subset_n_values
1.0,sampled_continuum,-0.9968990977337705,-0.9990810782048494,-0.996894851598811,-0.9973355867284885,-0.9984289976213482,-0.9958282310895072,-0.9984289931838122,-0.9957411739945824,-0.9968990977337705,-0.9990810782048494,-0.996894851598811,-0.9973355867284885,20 40 80 160 320 640
1.0,random_fourier_seed_3,-1.0808151244123894,-1.0818610551504921,-0.9971522263312931,-0.9976027237319273,-1.185311790415611,-1.1806666377183783,-0.9984352833069983,-0.9962080339057686,-1.0808151244123894,-1.0818610551504921,-0.9971522263312931,-0.9976027237319273,20 40 80 160 320 640
