L,sigma,W(0),W(pi),Delta=W(pi)-W(0),preferred
1.15,1.0375,-3.577009,-3.968434,-0.39142504,AB-like
1.15,1.05,-3.6445327,-4.1313531,-0.48682046,AB-like
1.15,1.0625,-3.6860158,-4.2841291,-0.59811333,AB-like
1.15,1.075,-3.6960509,-4.423505,-0.72745408,AB-like
1.15,1.0875,-3.6685252,-4.5457657,-0.87724055,AB-like
1.15,1.1,-3.5965476,-4.6466901,-1.0501425,AB-like
1.15,1.1125,-3.4723697,-4.7214981,-1.2491284,AB-like
1.15,1.125,-3.2873004,-4.7647943,-1.4774939,AB-like
1.15,1.1375,-3.0316123,-4.7705056,-1.7388933,AB-like
1.15,1.15,-2.694442,-4.7318155,-2.0373735,AB-like
1.15,1.1625,-2.2636805,-4.6410906,-2.3774101,AB-like
1.15,1.175,-1.7258563,-4.4898036,-2.7639473,AB-like
1.15,1.1875,-1.066008,-4.2684481,-3.2024401,AB-like
1.15,1.2,-0.26754751,-3.966448,-3.6989005,AB-like
1.1725,0.7,-0.49949007,-0.47154529,0.027944783,AA-like
1.1725,0.7125,-0.55325497,-0.52286568,0.030389295,AA-like
1.1725,0.725,-0.6114429,-0.57854292,0.032899977,AA-like
1.1725,0.7375,-0.67426774,-0.63881883,0.035448904,AA-like
1.1725,0.75,-0.74193538,-0.70393476,0.038000625,AA-like
1.1725,0.7625,-0.8146403,-0.77412938,0.040510922,AA-like
1.1725,0.775,-0.89256157,-0.84963618,0.042925391,AA-like
1.1725,0.7875,-0.97585837,-0.93068052,0.045177857,AA-like
1.1725,0.8,-1.0646649,-1.0174763,0.047188585,AA-like
1.1725,0.8125,-1.1590843,-1.110222,0.048862273,AA-like
1.1725,0.825,-1.2591825,-1.2090967,0.050085807,AA-like
1.1725,0.8375,-1.3649805,-1.3142548,0.050725744,AA-like
1.1725,0.85,-1.476446,-1.4258205,0.050625516,AA-like
1.1725,0.8625,-1.593484,-1.5438817,0.049602305,AA-like
1.1725,0.875,-1.7159268,-1.6684832,0.047443578,AA-like
1.1725,0.8875,-1.8435216,-1.7996184,0.043903234,AA-like
1.1725,0.9,-1.9759181,-1.9372207,0.038697339,AA-like
1.1725,0.9125,-2.1126537,-2.0811543,0.031499412,AA-like
1.1725,0.925,-2.2531379,-2.2312026,0.021935205,AA-like
1.1725,0.9375,-2.3966339,-2.3870569,0.0095769625,AA-like
1.1725,0.95,-2.5422397,-2.5483026,-0.0060629186,AB-like
1.1725,0.9625,-2.6888663,-2.7144052,-0.025538849,AB-like
1.1725,0.975,-2.8352137,-2.8846934,-0.049479701,AB-like
1.1725,0.9875,-2.9797448,-3.058342,-0.0785972,AB-like
1.1725,1,-3.1206571,-3.2343522,-0.11369512,AB-like
1.1725,1.0125,-3.2558506,-3.4115299,-0.15567937,AB-like
1.1725,1.025,-3.3828937,-3.5884627,-0.20556895,AB-like
1.1725,1.0375,-3.4989856,-3.7634936,-0.26450801,AB-like
1.1725,1.05,-3.6009146,-3.9346935,-0.33377894,AB-like
1.1725,1.0625,-3.6850137,-4.0998303,-0.41481662,AB-like
1.1725,1.075,-3.7471114,-4.2563354,-0.509224,AB-like
1.1725,1.0875,-3.7824784,-4.4012674,-0.61878893,AB-like
1.1725,1.1,-3.7857699,-4.5312725,-0.74550257,AB-like
1.1725,1.1125,-3.7509623,-4.6425415,-0.89157923,AB-like
1.1725,1.125,-3.6712851,-4.7307631,-1.059478,AB-like
1.1725,1.1375,-3.5391472,-4.7910732,-1.251926,AB-like
1.1725,1.15,-3.3460563,-4.8180002,-1.471944,AB-like
1.1725,1.1625,-3.0825325,-4.8054056,-1.7228731,AB-like
1.1725,1.175,-2.7380146,-4.7464196,-2.008405,AB-like
1.1725,1.1875,-2.300759,-4.6333724,-2.3326134,AB-like
1.1725,1.2,-1.7577304,-4.4577188,-2.6999884,AB-like
1.195,0.7,-0.45451262,-0.43139759,0.023115029,AA-like
1.195,0.7125,-0.50367423,-0.47848475,0.025189481,AA-like
1.195,0.725,-0.55693718,-0.52960165,0.027335535,AA-like
1.195,0.7375,-0.61451296,-0.58497915,0.029533805,AA-like
1.195,0.75,-0.67660876,-0.64484942,0.031759337,AA-like
1.195,0.7625,-0.74342481,-0.70944413,0.033980683,AA-like
1.195,0.775,-0.8151513,-0.77899246,0.036158835,AA-like
1.195,0.7875,-0.89196478,-0.85371874,0.038246042,AA-like
1.195,0.8,-0.97402419,-0.93383972,0.040184469,AA-like
1.195,0.8125,-1.0614662,-1.0195615,0.04190469,AA-like
1.195,0.825,-1.1544001,-1.1110761,0.043324008,AA-like
1.195,0.8375,-1.2529018,-1.2085572,0.04434457,AA-like
1.195,0.85,-1.3570074,-1.3121561,0.044851268,AA-like
1.195,0.8625,-1.4667054,-1.421996,0.0447094,AA-like
1.195,0.875,-1.581929,-1.5381669,0.043762067,AA-like
1.195,0.8875,-1.7025462,-1.6607189,0.041827286,AA-like
1.195,0.9,-1.82835,-1.7896552,0.038694793,AA-like
1.195,0.9125,-1.9590464,-1.9249239,0.034122506,AA-like
1.195,0.925,-2.0942422,-2.0664096,0.027832607,AA-like
1.195,0.9375,-2.2334304,-2.2139231,0.019507239,AA-like
1.195,0.95,-2.3759748,-2.367191,0.008783748,AA-like
1.195,0.9625,-2.5210929,-2.5258435,-0.0047505372,AB-like
1.195,0.975,-2.6678369,-2.6894009,-0.02156405,AB-like
1.195,0.9875,-2.8150724,-2.8572597,-0.042187281,AB-like
1.195,1,-2.9614562,-3.0286759,-0.067219682,AB-like
1.195,1.0125,-3.1054105,-3.2027477,-0.097337218,AB-like
1.195,1.025,-3.2450959,-3.3783965,-0.13330062,AB-like
1.195,1.0375,-3.3783807,-3.5543451,-0.17596442,AB-like
1.195,1.05,-3.5028085,-3.7290953,-0.22628674,AB-like
1.195,1.0625,-3.6155622,-3.9009022,-0.28534005,AB-like
1.195,1.075,-3.7134243,-4.0677471,-0.35432282,AB-like
1.195,1.0875,-3.7927352,-4.2273074,-0.43457216,AB-like
1.195,1.1,-3.8493462,-4.3769238,-0.52757764,AB-like
1.195,1.1125,-3.8785693,-4.5135654,-0.63499618,AB-like
1.195,1.125,-3.8751226,-4.6337909,-0.75866827,AB-like
1.195,1.1375,-3.8330715,-4.733707,-0.90063552,AB-like
1.195,1.15,-3.7457637,-4.8089233,-1.0631596,AB-like
1.195,1.1625,-3.6057608,-4.8545036,-1.2487428,AB-like
1.195,1.175,-3.4047626,-4.8649127,-1.4601501,AB-like
1.195,1.1875,-3.1335266,-4.8339598,-1.7004332,AB-like
1.195,1.2,-2.7817802,-4.7547365,-1.9729563,AB-like
1.2175,0.7,-0.41422851,-0.39511639,0.019112115,AA-like
1.2175,0.7125,-0.4592197,-0.43835441,0.020865295,AA-like
1.2175,0.725,-0.50800885,-0.48531895,0.022689893,AA-like
1.2175,0.7375,-0.56080191,-0.53622934,0.024572568,AA-like
1.2175,0.75,-0.6178033,-0.59130745,0.026495854,AA-like
1.2175,0.7625,-0.67921378,-0.65077632,0.028437459,AA-like
1.2175,0.775,-0.74522802,-0.71485854,0.030369473,AA-like
1.2175,0.7875,-0.81603184,-0.78377436,0.032257474,AA-like
1.2175,0.8,-0.89179902,-0.8577395,0.03405952,AA-like
1.2175,0.8125,-0.97268765,-0.93696263,0.035725019,AA-like
1.2175,0.825,-1.058836,-1.0216426,0.037193466,AA-like
1.2175,0.8375,-1.150358,-1.111965,0.038393024,AA-like
1.2175,0.85,-1.2473378,-1.2080988,0.039238949,AA-like
1.2175,0.8625,-1.3498238,-1.310192,0.039631825,AA-like
1.2175,0.875,-1.4578225,-1.4183668,0.039455612,AA-like
1.2175,0.8875,-1.5712905,-1.532715,0.038575475,AA-like
1.2175,0.9,-1.6901267,-1.6532914,0.036835373,AA-like
1.2175,0.9125,-1.8141631,-1.7801077,0.034055401,AA-like
1.2175,0.925,-1.9431543,-1.9131254,0.030028846,AA-like
1.2175,0.9375,-2.0767664,-2.0522475,0.02451894,AA-like
1.2175,0.95,-2.2145647,-2.1973094,0.01725529,AA-like
1.2175,0.9625,-2.3559997,-2.3480697,0.0079299407,AA-like
1.2175,0.975,-2.5003917,-2.5041987,-0.003806946,AB-like
1.2175,0.9875,-2.6469148,-2.6652666,-0.018351829,AB-like
1.2175,1,-2.7945777,-2.8307307,-0.036152984,AB-like
1.2175,1.0125,-2.9422039,-2.9999201,-0.057716189,AB-like
1.2175,1.025,-3.0884099,-3.1720208,-0.08361094,AB-like
1.2175,1.0375,-3.2315803,-3.3460576,-0.11447724,AB-like
1.2175,1.05,-3.3698423,-3.5208753,-0.15103299,AB-like
1.2175,1.0625,-3.5010359,-3.695118,-0.19408208,AB-like
1.2175,1.075,-3.6226834,-3.8672065,-0.24452314,AB-like
1.2175,1.0875,-3.7319544,-4.0353134,-0.30335908,AB-like
1.2175,1.1,-3.825629,-4.1973365,-0.37170749,AB-like
1.2175,1.1125,-3.9000573,-4.3508692,-0.45081186,AB-like
1.2175,1.125,-3.9511157,-4.4931694,-0.54205378,AB-like
1.2175,1.1375,-3.9741586,-4.6211248,-0.64696614,AB-like
1.2175,1.15,-3.9639679,-4.7312153,-0.76724743,AB-like
1.2175,1.1625,-3.9146963,-4.8194735,-0.90477719,AB-like
1.2175,1.175,-3.8198077,-4.8814404,-1.0616327,AB-like
1.2175,1.1875,-3.6720117,-4.9121185,-1.2401068,AB-like
1.2175,1.2,-3.4631934,-4.9059212,-1.4427279,AB-like
1.24,0.7,-0.37809789,-0.36229907,0.015798814,AA-like
1.24,0.7125,-0.41931219,-0.40203649,0.017275699,AA-like
1.24,0.725,-0.4640406,-0.44522008,0.018820514,AA-like
1.24,0.7375,-0.51248155,-0.49205737,0.020424186,AA-like
1.24,0.75,-0.56483392,-0.54275934,0.022074582,AA-like
1.24,0.7625,-0.62129537,-0.59753939,0.023755977,AA-like
1.24,0.775,-0.68206045,-0.65661199,0.02544846,AA-like
1.24,0.7875,-0.74731841,-0.72019115,0.027127259,AA-like
1.24,0.8,-0.8172507,-0.78848872,0.028761982,AA-like
1.24,0.8125,-0.89202806,-0.86171229,0.030315767,AA-like
1.24,0.825,-0.97180729,-0.94006297,0.031744326,AA-like
1.24,0.8375,-1.0567275,-1.0237327,0.032994881,AA-like
1.24,0.85,-1.1469061,-1.1129011,0.034004968,AA-like
1.24,0.8625,-1.2424337,-1.2077326,0.034701115,AA-like
1.24,0.875,-1.3433693,-1.3083719,0.034997364,AA-like
1.24,0.8875,-1.4497341,-1.4149405,0.034793632,AA-like
1.24,0.9,-1.5615049,-1.527531,0.033973897,AA-like
1.24,0.9125,-1.678607,-1.6462028,0.032404187,AA-like
1.24,0.925,-1.8009056,-1.7709752,0.029930362,AA-like
1.24,0.9375,-1.9281972,-1.9018215,0.026375662,AA-like
1.24,0.95,-2.0601993,-2.0386613,0.021538012,AA-like
1.24,0.9625,-2.1965394,-2.1813523,0.01518705,AA-like
1.24,0.975,-2.3367427,-2.3296818,0.0070608669,AA-like
1.24,0.9875,-2.4802189,-2.4833565,-0.0031375712,AB-like
1.24,1,-2.6262472,-2.6419916,-0.015744346,AB-like
1.24,1.0125,-2.7739601,-2.805099,-0.031138881,AB-like
1.24,1.025,-2.9223254,-2.9720741,-0.049748631,AB-like
1.24,1.0375,-3.0701274,-3.1421816,-0.072054208,AB-like
1.24,1.05,-3.2159448,-3.3145397,-0.098594974,AB-like
1.24,1.0625,-3.3581279,-3.488103,-0.12997512,AB-like
1.24,1.075,-3.4947733,-3.6616436,-0.16687032,AB-like
1.24,1.0875,-3.6236962,-3.8337311,-0.2100349,AB-like
1.24,1.1,-3.7424001,-4.0027098,-0.26030969,AB-like
1.24,1.1125,-3.8480448,-4.1666754,-0.31863053,AB-like
1.24,1.125,-3.9374104,-4.3234478,-0.38603744,AB-like
1.24,1.1375,-4.0068591,-4.4705438,-0.46368464,AB-like
1.24,1.15,-4.0522938,-4.6051451,-0.55285129,AB-like
1.24,1.1625,-4.0691127,-4.7240659,-0.6549532,AB-like
1.24,1.175,-4.0521611,-4.8237165,-0.77155542,AB-like
1.24,1.1875,-3.9956782,-4.900064,-0.90438583,AB-like
1.24,1.2,-3.8932409,-4.9485907,-1.0553498,AB-like
1.2625,0.7,-0.34564506,-0.33258616,0.013058897,AA-like
1.2625,0.7125,-0.38343875,-0.36913888,0.01429987,AA-like
1.2625,0.725,-0.42448252,-0.40887902,0.015603495,AA-like
1.2625,0.7375,-0.46896607,-0.45200236,0.016963707,AA-like
1.2625,0.75,-0.51708093,-0.49870877,0.018372161,AA-like
1.2625,0.7625,-0.56901923,-0.54920139,0.019817836,AA-like
1.2625,0.775,-0.62497219,-0.6036856,0.021286585,AA-like
1.2625,0.7875,-0.68512839,-0.66236777,0.022760627,AA-like
1.2625,0.8,-0.7496718,-0.72545383,0.024217971,AA-like
1.2625,0.8125,-0.81877948,-0.79314771,0.025631774,AA-like
1.2625,0.825,-0.892619,-0.86564938,0.02696962,AA-like
1.2625,0.8375,-0.97134547,-0.94315276,0.028192713,AA-like
1.2625,0.85,-1.0550982,-1.0258433,0.029254976,AA-like
1.2625,0.8625,-1.1439971,-1.113895,0.030102048,AA-like
1.2625,0.875,-1.238138,-1.2074678,0.030670166,AA-like
1.2625,0.8875,-1.3375885,-1.3067036,0.030884928,AA-like
1.2625,0.9,-1.4423823,-1.4117223,0.030659917,AA-like
1.2625,0.9125,-1.5525132,-1.522618,0.029895182,AA-like
1.2625,0.925,-1.6679291,-1.6394535,0.028475556,AA-like
1.2625,0.9375,-1.7885239,-1.7622551,0.026268804,AA-like
1.2625,0.95,-1.9141302,-1.8910066,0.023123579,AA-like
1.2625,0.9625,-2.0445096,-2.0256425,0.018867178,AA-like
1.2625,0.975,-2.1793438,-2.1660407,0.013303067,AA-like
1.2625,0.9875,-2.3182226,-2.3120144,0.006208178,AA-like
1.2625,1,-2.460633,-2.4633031,-0.0026700655,AB-like
1.2625,1.0125,-2.6059455,-2.6195625,-0.013616995,AB-like
1.2625,1.025,-2.7533998,-2.780354,-0.026954254,AB-like
1.2625,1.0375,-2.9020891,-2.9451328,-0.043043674,AB-like
1.2625,1.05,-3.0509431,-3.1132346,-0.06229151,AB-like
1.2625,1.0625,-3.1987087,-3.2838617,-0.085153052,AB-like
1.2625,1.075,-3.3439299,-3.4560676,-0.11213765,AB-like
1.2625,1.0875,-3.4849255,-3.6287396,-0.14381415,AB-like
1.2625,1.1,-3.6197643,-3.8005812,-0.18081686,AB-like
1.2625,1.1125,-3.7462392,-3.9700912,-0.22385195,AB-like
1.2625,1.125,-3.8618383,-4.1355427,-0.27370445,AB-like
1.2625,1.1375,-3.9637136,-4.2949594,-0.33124577,AB-like
1.2625,1.15,-4.0486477,-4.4460896,-0.39744191,AB-like
1.2625,1.1625,-4.113017,-4.5863793,-0.4733623,AB-like
1.2625,1.175,-4.1527522,-4.7129415,-0.56018929,AB-like
1.2625,1.1875,-4.1632959,-4.8225244,-0.65922851,AB-like
1.2625,1.2,-4.1395565,-4.9114765,-0.77191997,AB-like
1.285,0.7,-0.31645157,-0.30565696,0.01079461,AA-like
1.285,0.7125,-0.35114628,-0.33931102,0.011835265,AA-like
1.285,0.725,-0.38884653,-0.37591404,0.012932489,AA-like
1.285,0.7375,-0.42973258,-0.41565026,0.014082318,AA-like
1.285,0.75,-0.47398755,-0.45870846,0.015279094,AA-like
1.285,0.7625,-0.52179645,-0.50528129,0.01651516,AA-like
1.285,0.775,-0.57334499,-0.55556447,0.017780519,AA-like
1.285,0.7875,-0.62881823,-0.60975577,0.019062453,AA-like
1.285,0.8,-0.68839902,-0.66805393,0.020345084,AA-like
1.285,0.8125,-0.75226616,-0.73065727,0.021608888,AA-like
1.285,0.825,-0.82059238,-0.79776223,0.02283015,AA-like
1.285,0.8375,-0.89354194,-0.8695616,0.023980349,AA-like
1.285,0.85,-0.97126798,-0.94624251,0.025025477,AA-like
1.285,0.8625,-1.0539095,-1.0279842,0.025925278,AA-like
1.285,0.875,-1.141588,-1.1149556,0.026632403,AA-like
1.285,0.8875,-1.2344035,-1.2073121,0.027091464,AA-like
1.285,0.9,-1.3324307,-1.3051927,0.027237997,AA-like
1.285,0.9125,-1.4357135,-1.4087162,0.026997307,AA-like
1.285,0.925,-1.5442606,-1.5179775,0.026283191,AA-like
1.285,0.9375,-1.6580389,-1.6330423,0.024996533,AA-like
1.285,0.95,-1.776967,-1.7539433,0.023023755,AA-like
1.285,0.9625,-1.9009087,-1.8806736,0.020235105,AA-like
1.285,0.975,-2.0296639,-2.0131812,0.016482792,AA-like
1.285,0.9875,-2.162961,-2.1513621,0.01159892,AA-like
1.285,1,-2.3004462,-2.295053,0.0053932402,AA-like
1.285,1.0125,-2.4416735,-2.4440228,-0.0023493201,AB-like
1.285,1.025,-2.5860927,-2.597964,-0.011871355,AB-like
1.285,1.0375,-2.7330368,-2.7564828,-0.023445925,AB-like
1.285,1.05,-2.8817081,-2.9190879,-0.037379774,AB-like
1.285,1.0625,-3.0311627,-3.0851795,-0.054016828,AB-like
1.285,1.075,-3.1802938,-3.2540358,-0.07374201,AB-like
1.285,1.0875,-3.3278138,-3.4247992,-0.096985383,AB-like
1.285,1.1,-3.4722344,-3.5964611,-0.12422665,AB-like
1.285,1.1125,-3.6118452,-3.7678452,-0.15600006,AB-like
1.285,1.125,-3.74469,-3.9375896,-0.19289966,AB-like
1.285,1.1375,-3.8685421,-4.1041271,-0.23558508,AB-like
1.285,1.15,-3.9808763,-4.265664,-0.28478771,AB-like
1.285,1.1625,-4.0788396,-4.4201571,-0.34131744,AB-like
1.285,1.175,-4.1592189,-4.5652888,-0.40606987,AB-like
1.285,1.1875,-4.2184064,-4.6984406,-0.48003418,AB-like
1.285,1.2,-4.2523618,-4.8166634,-0.56430152,AB-like
1.3075,0.7,-0.29014963,-0.28122546,0.0089241735,AA-like
1.3075,0.7125,-0.3220352,-0.31223973,0.0097954696,AA-like
1.3075,0.725,-0.35670048,-0.34598342,0.010717059,AA-like
1.3075,0.7375,-0.39431601,-0.38262957,0.011686442,AA-like
1.3075,0.75,-0.43505593,-0.42235607,0.012699853,AA-like
1.3075,0.7625,-0.47909713,-0.46534509,0.013752034,AA-like
1.3075,0.775,-0.52661842,-0.51178244,0.014835974,AA-like
1.3075,0.7875,-0.57779941,-0.56185679,0.015942619,AA-like
1.3075,0.8,-0.63281928,-0.61575874,0.017060539,AA-like
1.3075,0.8125,-0.69185535,-0.67367979,0.01817556,AA-like
1.3075,0.825,-0.75508143,-0.73581108,0.019270347,AA-like
1.3075,0.8375,-0.82266593,-0.80234199,0.020323941,AA-like
1.3075,0.85,-0.89476972,-0.87345849,0.021311237,AA-like
1.3075,0.8625,-0.97154375,-0.94934134,0.022202409,AA-like
1.3075,0.875,-1.0531262,-1.030164,0.022962261,AA-like
1.3075,0.8875,-1.1396397,-1.1160902,0.023549517,AA-like
1.3075,0.9,-1.2311873,-1.2072713,0.023916025,AA-like
1.3075,0.9125,-1.3278494,-1.3038436,0.02400588,AA-like
1.3075,0.925,-1.4296789,-1.4059245,0.023754454,AA-like
1.3075,0.9375,-1.5366965,-1.5136092,0.023087324,AA-like
1.3075,0.95,-1.6488856,-1.6269665,0.021919096,AA-like
1.3075,0.9625,-1.7661864,-1.7460343,0.020152103,AA-like
1.3075,0.975,-1.8884891,-1.8708141,0.017674978,AA-like
1.3075,0.9875,-2.0156273,-2.0012662,0.014361091,AA-like
1.3075,1,-2.1473696,-2.1373028,0.010066834,AA-like
1.3075,1.0125,-2.2834114,-2.2787817,0.0046297369,AA-like
1.3075,1.025,-2.423365,-2.4254986,-0.0021335813,AB-like
1.3075,1.0375,-2.5667495,-2.5771791,-0.010429658,AB-like
1.3075,1.05,-2.7129791,-2.7334698,-0.020490634,AB-like
1.3075,1.0625,-2.8613512,-2.8939281,-0.03257692,AB-like
1.3075,1.075,-3.0110319,-3.058012,-0.046980099,AB-like
1.3075,1.0875,-3.1610424,-3.2250684,-0.064026081,AB-like
1.3075,1.1,-3.3102416,-3.3943201,-0.084078535,AB-like
1.3075,1.1125,-3.4573095,-3.5648521,-0.10754261,AB-like
1.3075,1.125,-3.6007278,-3.7355968,-0.13486895,AB-like
1.3075,1.1375,-3.7387593,-3.9053174,-0.16655811,AB-like
1.3075,1.15,-3.8694254,-4.0725906,-0.20316523,AB-like
1.3075,1.1625,-3.9904819,-4.235787,-0.24530516,AB-like
1.3075,1.175,-4.0993928,-4.3930508,-0.29365802,AB-like
1.3075,1.1875,-4.1933019,-4.542277,-0.34897511,AB-like
1.3075,1.2,-4.2690024,-4.6810877,-0.41208537,AB-like
1.33,0.7,-0.26641607,-0.25903663,0.0073794422,AA-like
1.33,0.7125,-0.29575337,-0.28764533,0.0081080411,AA-like
1.33,0.725,-0.32766228,-0.31878144,0.0088808407,AA-like
1.33,0.7375,-0.36230363,-0.35260728,0.0096963479,AA-like
1.33,0.75,-0.39984229,-0.38929016,0.010552126,AA-like
1.33,0.7625,-0.44044656,-0.42900194,0.011444622,AA-like
1.33,0.775,-0.48428747,-0.4719185,0.012368966,AA-like
1.33,0.7875,-0.53153791,-0.51821916,0.013318754,AA-like
1.33,0.8,-0.58237169,-0.5680859,0.014285791,AA-like
1.33,0.8125,-0.63696235,-0.62170254,0.015259813,AA-like
1.33,0.825,-0.69548192,-0.67925375,0.01622817,AA-like
1.33,0.8375,-0.75809933,-0.74092386,0.01717547,AA-like
1.33,0.85,-0.82497875,-0.80689557,0.018083183,AA-like
1.33,0.8625,-0.89627764,-0.87734844,0.018929205,AA-like
1.33,0.875,-0.97214452,-0.95245716,0.01968736,AA-like
1.33,0.8875,-1.0527165,-1.0323897,0.020326858,AA-like
1.33,0.9,-1.1381165,-1.1173048,0.020811693,AA-like
1.33,0.9125,-1.2284502,-1.2073503,0.021099968,AA-like
1.33,0.925,-1.3238024,-1.3026593,0.021143159,AA-like
1.33,0.9375,-1.4242333,-1.403348,0.020885296,AA-like
1.33,0.95,-1.529774,-1.509512,0.020262065,AA-like
1.33,0.9625,-1.6404221,-1.6212223,0.019199817,AA-like
1.33,0.975,-1.756136,-1.7385215,0.017614476,AA-like
1.33,0.9875,-1.8768293,-1.8614189,0.015410351,AA-like
1.33,1,-2.0023643,-1.9898855,0.012478819,AA-like
1.33,1.0125,-2.1325451,-2.1238482,0.0086968956,AA-like
1.33,1.025,-2.2671096,-2.2631839,0.0039256669,AA-like
1.33,1.0375,-2.4057211,-2.4077125,-0.0019914239,AB-like
1.33,1.05,-2.5479591,-2.5571896,-0.0092304439,AB-like
1.33,1.0625,-2.693309,-2.711298,-0.017989006,AB-like
1.33,1.075,-2.841151,-2.8696395,-0.028488485,AB-like
1.33,1.0875,-2.9907479,-3.0317243,-0.040976425,AB-like
1.33,1.1,-3.141232,-3.1969612,-0.055729161,AB-like
1.33,1.1125,-3.291591,-3.3646456,-0.073054656,AB-like
1.33,1.125,-3.4406517,-3.5339472,-0.09329558,AB-like
1.33,1.1375,-3.5870637,-3.7038964,-0.11683265,AB-like
1.33,1.15,-3.729281,-3.8733692,-0.14408823,AB-like
1.33,1.1625,-3.8655417,-4.0410719,-0.17553025,AB-like
1.33,1.175,-3.9938468,-4.2055232,-0.21167641,AB-like
1.33,1.1875,-4.111937,-4.3650358,-0.25309872,AB-like
1.33,1.2,-4.2172676,-4.517696,-0.30042844,AB-like
1.3525,0.7,-0.24496688,-0.23886308,0.0061038085,AA-like
1.3525,0.7125,-0.27199058,-0.26527808,0.0067124973,AA-like
1.3525,0.725,-0.30139439,-0.2940347,0.0073596887,AA-like
1.3525,0.7375,-0.33332964,-0.32528506,0.0080445752,AA-like
1.3525,0.75,-0.36795194,-0.35918629,0.0087656447,AA-like
1.3525,0.7625,-0.40542078,-0.39590023,0.0095205483,AA-like
1.3525,0.775,-0.44589893,-0.43559298,0.010305949,AA-like
1.3525,0.7875,-0.48955181,-0.47843446,0.011117354,AA-like
1.3525,0.8,-0.53654672,-0.5245978,0.01194892,AA-like
1.3525,0.8125,-0.58705192,-0.57425868,0.01279324,AA-like
1.3525,0.825,-0.64123559,-0.62759449,0.013641102,AA-like
1.3525,0.8375,-0.69926461,-0.68478339,0.014481217,AA-like
1.3525,0.85,-0.76130323,-0.74600331,0.015299919,AA-like
1.3525,0.8625,-0.82751144,-0.81143061,0.016080825,AA-like
1.3525,0.875,-0.89804324,-0.88123878,0.01680446,AA-like
1.3525,0.8875,-0.97304461,-0.95559677,0.017447844,AA-like
1.3525,0.9,-1.0526513,-1.0346673,0.017984026,AA-like
1.3525,0.9125,-1.1369861,-1.1186046,0.018381574,AA-like
1.3525,0.925,-1.2261565,-1.2075525,0.018604006,AA-like
1.3525,0.9375,-1.3202508,-1.3016416,0.018609173,AA-like
1.3525,0.95,-1.4193353,-1.4009868,0.01834856,AA-like
1.3525,0.9625,-1.52345,-1.5056835,0.017766537,AA-like
1.3525,0.975,-1.6326044,-1.6158048,0.016799522,AA-like
1.3525,0.9875,-1.7467727,-1.7313976,0.015375071,AA-like
1.3525,1,-1.8658887,-1.8524778,0.013410869,AA-like
1.3525,1.0125,-1.9898398,-1.9790262,0.010813641,AA-like
1.3525,1.025,-2.1184609,-2.110983,0.0074779469,AA-like
1.3525,1.0375,-2.2515271,-2.2482422,0.003284874,AA-like
1.3525,1.05,-2.3887462,-2.3906456,-0.0018993927,AB-like
1.3525,1.0625,-2.5297508,-2.5379759,-0.0082251289,AB-like
1.3525,1.075,-2.6740882,-2.689949,-0.015860766,AB-like
1.3525,1.0875,-2.8212115,-2.8462063,-0.024994734,AB-like
1.3525,1.1,-2.9704681,-3.0063056,-0.035837467,AB-like
1.3525,1.1125,-3.1210879,-3.1697115,-0.048623576,AB-like
1.3525,1.125,-3.2721711,-3.3357853,-0.063614205,AB-like
1.3525,1.1375,-3.4226733,-3.5037729,-0.081099585,AB-like
1.3525,1.15,-3.5713914,-3.6727931,-0.10140179,AB-like
1.3525,1.1625,-3.7169465,-3.8418243,-0.12487775,AB-like
1.3525,1.175,-3.8577668,-4.0096892,-0.15192244,AB-like
1.3525,1.1875,-3.9920678,-4.1750402,-0.18297238,AB-like
1.3525,1.2,-4.1178324,-4.3363418,-0.2185094,AB-like
1.375,0.7,-0.22555233,-0.22050197,0.0050503569,AA-like
1.375,0.7125,-0.25047347,-0.24491497,0.005558498,AA-like
1.375,0.725,-0.2775987,-0.27149876,0.006099946,AA-like
1.375,0.7375,-0.30707012,-0.30039577,0.006674352,AA-like
1.375,0.75,-0.33903429,-0.33175345,0.0072808403,AA-like
1.375,0.7625,-0.37364186,-0.36572395,0.0079179079,AA-like
1.375,0.775,-0.41104721,-0.4024639,0.0085833091,AA-like
1.375,0.7875,-0.45140786,-0.44213393,0.0092739262,AA-like
1.375,0.8,-0.49488391,-0.48489828,0.0099856225,AA-like
1.375,0.8125,-0.54163731,-0.53092423,0.010713078,AA-like
1.375,0.825,-0.59183104,-0.58038144,0.011449604,AA-like
1.375,0.8375,-0.64562813,-0.63344119,0.012186937,AA-like
1.375,0.85,-0.70319055,-0.69027554,0.012915005,AA-like
1.375,0.8625,-0.76467796,-0.75105629,0.013621674,AA-like
1.375,0.875,-0.83024629,-0.81595383,0.014292453,AA-like
1.375,0.8875,-0.90004608,-0.88513589,0.014910185,AA-like
1.375,0.9,-0.97422066,-0.95876598,0.015454682,AA-like
1.375,0.9125,-1.0529041,-1.0370018,0.015902341,AA-like
1.375,0.925,-1.1362189,-1.1199932,0.016225707,AA-like
1.375,0.9375,-1.2242735,-1.2078805,0.016392992,AA-like
1.375,0.95,-1.3171591,-1.3007916,0.016367552,AA-like
1.375,0.9625,-1.414947,-1.3988397,0.016107304,AA-like
1.375,0.975,-1.5176845,-1.5021204,0.015564088,AA-like
1.375,0.9875,-1.6253915,-1.6107086,0.014682963,AA-like
